image_path_s3,label,pca_data_vector_str
oc-projet8-yannick/fruits_images_samples_t2micro/Apple_Red_1/0_100.jpg,Apple_Red_1,"[-661.9552719989631,14.232349224498671,152.979117695675,-1639.4185580458484,-25.243393611217325,68.3520529339079,186.87952504257973,-46.873496719329445,-25.72486431267659,128.74224655949868]"
oc-projet8-yannick/fruits_images_samples_t2micro/Apple_Red_1/1_100.jpg,Apple_Red_1,"[-682.9614496287963,2.613705098287798,205.09117790101584,-1626.471686807675,-86.33942936454689,507.6687618380352,183.86755246727765,-111.06112536377334,-27.831843057853003,128.7422465594989]"
oc-projet8-yannick/fruits_images_samples_t2micro/Apple_Braeburn/1_100.jpg,Apple_Braeburn,"[-289.36356177605273,-1443.7925275046487,445.4391732389291,-674.0492855459652,-46.378700770649154,281.2681800542639,181.10906336607627,-83.31019020799836,-106.49769811097781,128.74224655949882]"
oc-projet8-yannick/fruits_images_samples_t2micro/Cherry_Rainier/0_100.jpg,Cherry_Rainier,"[-1684.4265943424666,287.2052687192614,-267.5341479602683,-316.2429949352953,-42.98002331468757,247.26277044658335,156.75314457298578,-241.54261634025414,-24.773552711955407,128.7422465594983]"
oc-projet8-yannick/fruits_images_samples_t2micro/Apple_Braeburn/0_100.jpg,Apple_Braeburn,"[-276.34928556947114,-1436.5073262573196,448.8438154208124,-669.5755768902841,-48.658022395611845,289.2938970440491,183.81102756152998,-74.98652800781686,52.969406323999,128.74224655949777]"
oc-projet8-yannick/fruits_images_samples_t2micro/Cherry_Rainier/1_100.jpg,Cherry_Rainier,"[-1654.2687498265386,238.58777183592653,-253.38301441328946,-342.8558809738878,-38.88037460970627,331.15739951696384,207.18011552550954,92.59604045845198,-29.212680321481184,128.7422465594987]"
oc-projet8-yannick/fruits_images_samples_t2micro/Avocado/1_100.jpg,Avocado,"[-2686.0682303350122,-181.0320249864879,1425.4974507458755,-849.8231206538555,-51.33865016323445,286.91585926406447,0.43874476213881897,-53.256820702440066,-26.5507772958731,128.7422465594983]"
oc-projet8-yannick/fruits_images_samples_t2micro/Avocado/0_100.jpg,Avocado,"[-2710.105952945077,-185.73833384188242,1419.570304664121,-820.6732778078054,-41.76743426385303,279.448177712598,365.8318633058763,-100.00456908145871,-27.130993534259193,128.7422465594981]"
oc-projet8-yannick/fruits_images_samples_t2micro/Cactus_fruit/1_100.jpg,Cactus_fruit,"[-3746.6211286444054,-1047.8769567214158,-214.89042429968023,-1171.478237393434,297.6483749959486,306.16963001855805,180.22555364342801,-81.73505449373614,-26.30253049779208,128.74224655949885]"
oc-projet8-yannick/fruits_images_samples_t2micro/Cactus_fruit/0_100.jpg,Cactus_fruit,"[-3731.0603346980747,-1021.3225714038144,-210.1400429943163,-1108.591576730863,-404.92432817746476,268.31791233691735,185.61043725615755,-74.65505937570938,-26.68856428572489,128.7422465594987]"
